Date,City,PM2.5,PM10,SO2,NO2,CO,NO,O3,NH3,AQI
2023-02-23 19:03:37,Khulna,110.77,133.39,9.42,14.57,607.49,0,105.86,17.23,5
2023-02-23 19:03:38,Kushtia,101.95,134.13,5.42,12.34,634.19,0.01,82.25,32.17,5
2023-02-23 19:03:38,Magura,121.88,158.42,6.38,34.27,801.09,0,61.51,41.54,5
2023-02-23 19:03:39,Meherpur,126.34,168.98,11.68,30.85,1094.82,0,64.37,46.1,5
2023-02-23 19:03:39,Narail,115.29,151.23,6.74,36.67,907.9,0,57.94,35.47,5
2023-02-23 19:03:40,Satkhira,82.95,99.08,3.28,1.91,383.85,0,95.84,2.85,5
2023-02-24 00:12:38,Dhaka,178.45,225.94,4.23,59.63,2269.75,0.23,10.37,8.61,5
2023-02-24 00:12:38,Faridpur,140.21,173.82,2.33,30.16,1081.47,0.05,14.66,14.82,5
2023-02-24 00:12:39,Gazipur,217.47,273.51,2.3,71.97,2964.02,0.33,4.87,17.23,5
2023-02-24 00:12:40,Gopalganj,131.13,166.15,13.47,29.13,1228.33,0,35.05,44.08,5
2023-02-24 00:12:40,Jamalpur,151.73,183.65,24.56,19.36,947.95,0,103,22.04,5
2023-02-24 00:12:41,Kishoreganj,136.7,176.86,2.06,16.97,1068.12,0.01,20.74,15.83,5
2023-02-24 00:12:42,Madaripur,90.9,112.26,2.5,6.43,467.3,0,60.08,3.86,5
2023-02-24 00:12:43,Manikganj,160.29,253.83,6.68,30.16,1295.09,0,34.33,92.21,5
2023-02-24 00:12:43,Munshiganj,87.46,115.9,2,4.8,440.6,0,65.09,4.75,5
2023-02-24 00:12:44,Mymensingh,151.22,208.27,2.44,29.13,1281.74,0.17,11.62,39.52,5
2023-02-24 00:12:45,Narayanganj,101.14,131.89,4.83,15.59,761.03,0,48.64,7.35,5
2023-02-24 00:12:46,Narsingdi,135.68,172.73,3.04,35.64,1388.55,0,24.68,10.64,5
2023-02-24 00:12:46,Netrokona,75.84,88.1,1.28,7.71,647.54,0,33.98,7.41,5
2023-02-24 00:12:47,Rajbari,142.27,187.67,2.53,29.13,1094.82,0.01,21.46,36.99,5
2023-02-24 00:12:47,Shariatpur,87.65,114.88,1.74,3.43,413.9,0,74.39,4.05,5
2023-02-24 00:12:48,Sherpur,129.74,158.93,4.23,23.99,841.14,0,25.39,53.7,5
2023-02-24 00:12:49,Tangail,158.61,205.09,6.62,32.9,1214.98,0,34.69,32.17,5
2023-02-24 00:12:49,Bogra,117.5,150.95,5.84,22.28,907.9,0,53.64,42.56,5
2023-02-24 00:12:50,Joypurhat,130.51,166.02,3.73,40.1,1148.22,0.06,20.03,36.48,5
2023-02-24 00:12:50,Naogaon,119.02,149.08,6.91,11.65,754.36,0,77.96,30.91,5
2023-02-24 00:12:51,Natore,129.45,172.23,5.9,36.67,1108.17,0,28.61,86.13,5
2023-02-24 00:12:51,Nawabganj,66.83,82.07,15.26,15.59,734.33,0,75.1,27.61,4
2023-02-24 00:12:52,Pabna,139.49,185.39,3.55,34.96,1121.52,0.02,19.13,39.01,5
2023-02-24 00:12:52,Rajshahi,121.92,174.27,5.6,37.36,1201.63,3.1,3.09,55.73,5
2023-02-24 00:12:53,Sirajgonj,155.05,212.8,3.4,29.47,1134.87,0.05,14.84,48.64,5
2023-02-24 00:12:54,Dinajpur,193.29,230.54,2.35,17.99,1094.82,0,32.19,41.04,5
2023-02-24 00:12:54,Gaibandha,155.97,199.84,2.38,21.94,1281.74,0.01,17.88,58.26,5
2023-02-24 00:12:55,Kurigram,176.26,203.11,2.15,12.68,1081.47,0,51.5,13.05,5
2023-02-24 00:12:56,Lalmonirhat,247.71,278.46,3.49,17.82,1482.01,0,46.49,7.66,5
2023-02-24 00:12:56,Nilphamari,233.73,267.71,1.37,15.77,1295.09,0,32.54,13.05,5
2023-02-24 00:12:57,Panchagarh,239.36,266.43,2.15,18.17,1441.96,0,32.54,8.04,5
2023-02-24 00:12:57,Rangpur,179.88,213.36,2.18,12.34,1108.17,0,47.21,23.56,5
2023-02-24 00:12:58,Thakurgaon,262.58,304.29,1.67,17.31,1415.25,0,23.96,18.75,5
2023-02-24 00:12:59,Barguna,82.06,104.48,1.04,0.91,360.49,0,90.84,0.85,5
2023-02-24 00:12:59,Barisal,91.34,116.01,1.59,2.87,403.88,0,77.25,3.33,5
2023-02-24 00:13:00,Bhola,78.54,98.27,1,0.68,367.17,0,105.86,0.95,5
2023-02-24 00:13:00,Jhalokati,87.32,110.35,1.04,1.74,380.52,0,80.82,2.28,5
2023-02-24 00:13:01,Patuakhali,91.68,114.22,1.33,2.16,397.21,0,92.98,3.07,5
2023-02-24 00:13:02,Pirojpur,86.43,109.57,1.34,2.42,370.5,0,76.53,1.46,5
2023-02-24 00:13:02,Bandarban,107.65,119.09,0.45,4.37,420.57,0.01,21.28,3.07,5
2023-02-24 00:13:03,Brahmanbaria,103.93,129.24,1.86,5.44,500.68,0,73.67,5.57,5
2023-02-24 00:13:04,Chandpur,93.55,119.68,1.68,2.79,427.25,0,82.25,3.96,5
2023-02-24 00:13:04,Chittagong,113.17,130.37,4.77,18.17,727.65,0,77.25,5.38,5
2023-02-24 00:13:05,Comilla,100.03,125.44,1.61,4.46,480.65,0,76.53,5.38,5
2023-02-24 00:13:05,CoxBazar,114.98,128.21,1.22,15.42,667.57,0,31.47,12.16,5
2023-02-24 00:13:06,Feni,103.05,126.26,1.3,3.6,460.63,0,81.54,4.43,5
2023-02-24 00:13:06,Khagrachari,105.09,116.05,1.27,2.7,453.95,0,67.95,0.85,5
2023-02-24 00:13:07,Lakshmipur,95.66,120.55,1.24,1.71,410.56,0,90.12,2.66,5
2023-02-24 00:13:07,Noakhali,97.6,121.13,1.16,1.99,423.91,0,89.41,3.17,5
2023-02-24 00:13:08,Rangamati,108.97,119.68,1.57,3.51,473.98,0,38.27,0.92,5
2023-02-24 00:13:09,Habiganj,98.68,118.28,1.77,10.8,627.52,0,41.84,4.56,5
2023-02-24 00:13:09,Maulvibazar,108.9,124.69,1.79,5.44,487.33,0,72.96,2.25,5
2023-02-24 00:13:10,Sunamganj,87.19,102.37,1.59,8.82,574.11,0,26.46,15.33,5
2023-02-24 00:13:10,Sylhet,72.4,90.68,0.75,13.02,821.11,0.5,5.19,6.14,4
2023-02-24 00:13:11,Bagerhat,85.68,109.18,2.27,4.63,393.87,0,76.53,1.84,5
2023-02-24 00:13:11,Chuadanga,169.93,221.29,4.53,30.5,1415.25,0.01,19.49,57.76,5
2023-02-24 00:13:12,Jessore,99.76,120.81,6.44,8.91,527.38,0,65.09,5.89,5
2023-02-24 00:13:13,Jhenaidah,162.99,207.78,5.66,22.96,1281.74,0,45.42,23.56,5
2023-02-24 00:13:13,Khulna,85.91,108.03,1.62,3.6,400.54,0,73.67,2.44,5
2023-02-24 00:13:14,Kushtia,141.31,186.8,4.05,24.68,1068.12,0.1,15.02,39.01,5
2023-02-24 00:13:16,Magura,141.69,177.8,2.38,27.76,1068.12,0.02,21.1,23.31,5
